msini,Semi-major axis [R$_{jup}$],$M_{moon}/M_p$ sin i
0.006902690444538464,1.0412275590755233,0.006902690444538464
0.006746583745871991,1.2776998248308924,0.006746583745871991
0.006977536121981293,1.5678770967437305,0.006977536121981293
0.007757560461045332,1.9239562710426965,0.007757560461045332
0.008467421907697701,2.360904270221344,0.008467421907697701
0.009984590732644584,2.89708714124183,0.009984590732644584
0.010285002248978688,3.0813145094424663,0.010285002248978688
0.011481246774961403,3.555042027672674,0.011481246774961403
0.013781717017235854,4.362424463732784,0.013781717017235854
0.015065666971205281,5.3531708074441084,0.015065666971205281
0.017278431785493018,6.440757849774451,0.017278431785493018
0.01772249744833267,6.568924672944694,0.01772249744833267
0.017719008360981787,8.060787318576901,0.017719008360981787
0.020474771646882137,9.891465564059038,0.020474771646882137
0.021178748352602274,12.137907519217269,0.021178748352602274
0.02304164969188666,14.89453691072788,0.02304164969188666
0.028098172802147464,18.277221953932077,0.028098172802147464
0.029027140465193557,22.42814559160214,0.029027140465193557
0.029027140465193557,22.42814559160214,0.029027140465193557
0.03463435797913791,27.521781808306198,0.03463435797913791
0.03845987649828998,33.77222922021821,0.03845987649828998
0.03986560021469062,41.44221018999335,0.03986560021469062
0.04503044234282933,50.85411372262653,0.04503044234282933
0.04876454611427768,62.40354630357731,0.04876454611427768
0.04876454611427768,62.40354630357731,0.04876454611427768
0.05656645849514952,76.5759602557004,0.05656645849514952
0.054973933308791786,93.96705854754376,0.054973933308791786
0.0637615123831752,115.30783371952833,0.0637615123831752
0.06803445274085511,141.49529337840443,0.06803445274085511
0.07285192939749946,173.63016373145174,0.07285192939749946
0.07402788144281505,213.06315593683198,0.07402788144281505
0.07785812905714169,261.4517399636572,0.07785812905714169
0.08192267373298298,296.20963597301363,0.08192267373298298
0.08656471165970747,320.8298123129744,0.08656471165970747
0.08501736568413265,393.69318591295826,0.08501736568413265
