Orbital Period (days),50% (MJup),68% (MJup),95% (MJup),99.7% (MJup)
2.4247491638795964,0.764248402330666,1.180787840213876,3.009137709375876,4.857555375421234
7.274247491638794,0.5299154093179279,0.8003928887243477,1.8969728950809914,3.122645097512358
12.12374581939799,0.3279983387717015,0.4807387421907837,1.0142123307401598,1.7101058552625914
16.97324414715719,0.2367530555440928,0.3424583241296576,0.6757604859126395,1.1307302782192759
21.822742474916385,0.1952076820812347,0.2803402487501361,0.5436950318474065,0.8865580288024087
26.67224080267558,0.16948987940762006,0.24217908118845227,0.47263760827410783,0.7557668317261975
31.52173913043478,0.15075772656699918,0.2167480000315115,0.4273507322755149,0.6808714095735496
36.371237458193974,0.13618831040565615,0.19829813180735423,0.38977484552363195,0.638387018069144
41.220735785953174,0.1256858608912489,0.18448714653520326,0.3616528976082977,0.6160131003170985
46.070234113712374,0.11794116111250016,0.1727455481223893,0.3432647306057428,0.5973231094232534
50.91973244147157,0.11139290782053879,0.16166370274915426,0.3235729945084943,0.5718312314203347
55.76923076923077,0.10584303178532453,0.1529726699465358,0.30397917013236986,0.5227010378534461
60.618729096989966,0.10087545045933106,0.1459998423066746,0.28446749588714204,0.4655190411687137
65.46822742474916,0.09589422120014623,0.1387414731321363,0.26668099145405433,0.4280400343030529
70.31772575250835,0.09107703846665953,0.1312107456684422,0.2522924521846108,0.4069103184531249
75.16722408026756,0.08619554796789836,0.1239126278485104,0.24088542556533354,0.39958996321016893
80.01672240802675,0.08331047172100892,0.12005224250430674,0.23468514915145416,0.39515851685604547
84.86622073578594,0.08099341595732724,0.11757246244370542,0.2297748103637048,0.3755683708533752
89.71571906354515,0.07734999454672717,0.11245559821358428,0.22093919516042565,0.3534906051872376
94.56521739130434,0.07543138778653935,0.10914542501022403,0.21409734918398965,0.33593288860322223
99.41471571906354,0.075300761811739,0.10918311629948191,0.21420560321799875,0.32570974478606146
104.26421404682274,0.07463355681281576,0.10790065206664556,0.21604228500311398,0.3261275384500024
109.11371237458194,0.07058867007165891,0.101896371895457,0.20893714807998168,0.317269540776961
113.96321070234113,0.0643578315666504,0.0942560306986708,0.1967952008503032,0.30353226420600743
118.81270903010034,0.05983909694518548,0.0889372511869605,0.18379647353853737,0.2917095748993
123.66220735785953,0.05917583806103213,0.08721098470126737,0.17489628956893236,0.2793614400049208
128.51170568561872,0.061102729532744246,0.08871284872691411,0.1756306643988504,0.28779295415127704
133.36120401337791,0.06263445632480075,0.0906087019390452,0.17937649571299089,0.3426410819475345
138.2107023411371,0.061441589976482816,0.08925582932188297,0.17650996112184064,0.38703883910346293
143.06020066889633,0.05831620351749836,0.0845883354770601,0.16733852477216316,0.3558765979580323
147.90969899665552,0.055668663581204994,0.0804654760137167,0.1596812153423545,0.30790525969023064
152.7591973244147,0.053400782273813084,0.07805498285355825,0.15577242599177826,0.2693056589287447
157.6086956521739,0.05096639921445081,0.07587586678448864,0.1519844305706684,0.2401940735870829
162.4581939799331,0.049773805064011814,0.07417557254194744,0.14755804759494834,0.23448888672859833
167.3076923076923,0.04961659803117299,0.07277694892967378,0.14258201099218454,0.24069164559564202
172.15719063545149,0.04926506615458637,0.07136061977451397,0.13797776744249685,0.23164274059692838
177.0066889632107,0.048944976913994236,0.07039288501248617,0.13585990293730546,0.22033517613556725
181.8561872909699,0.048809800757235025,0.06964911601749196,0.13539773091986973,0.2218714613939693
186.7056856187291,0.04857641925680767,0.06910284351937739,0.13533257174108296,0.22243954566390173
191.55518394648828,0.048473258653201914,0.06956427089058917,0.1349978545310488,0.2156173136348275
196.40468227424748,0.048342165918198635,0.06996716213970891,0.13558308505453326,0.22390733686279832
201.25418060200667,0.04832532813843111,0.07000308373902578,0.13865832835577974,0.24065033728414642
206.1036789297659,0.04854564620770854,0.07071686716899325,0.14197644708088647,0.24541384678427158
210.95317725752508,0.0486771209059584,0.07163235265840698,0.14556391982173444,0.27349928988670025
215.80267558528428,0.04824763890798915,0.07086682415701295,0.14804917694934183,0.3117576569365901
220.65217391304347,0.04647712034574958,0.06814731534155866,0.14389952343326107,0.2956189206537301
225.50167224080266,0.044947064992335674,0.06593087053953492,0.1373134931927903,0.2528506365394366
230.35117056856186,0.044313173415186896,0.06455707715240376,0.1319824446062817,0.228703757744656
235.20066889632108,0.043062845978169284,0.06264905834572435,0.12642473158134854,0.2126218033598184
240.05016722408027,0.0419840015134164,0.06150196382628605,0.12295984765874718,0.20053846916425885
244.89966555183946,0.041104794942906725,0.06064353346566176,0.12173313993679384,0.20124582929715198
249.74916387959865,0.03963545663303841,0.058443405720242925,0.1170504479675731,0.20454592341440603
254.59866220735785,0.03843111933456039,0.05611958663042164,0.11127555495510252,0.1920158028684813
259.44816053511704,0.038177283288884076,0.05533931113293216,0.10776796304329536,0.17356472810415344
264.29765886287623,0.037519117962692555,0.054621291264818836,0.10561882160609246,0.16593900841659087
269.1471571906354,0.036033507904743675,0.05318745510743346,0.10556182604165579,0.16818926224828723
273.9966555183946,0.03496481331475522,0.051722397642297066,0.10482882010737238,0.1703067691701884
278.8461538461538,0.03420528264121055,0.050392438976939624,0.10202512598002542,0.16799326572115597
283.69565217391306,0.03371351203622852,0.04981841964470989,0.0997292965637113,0.16801541205207232
288.54515050167225,0.03442205993298755,0.0506484549536817,0.09993958667469027,0.17544513810756734
293.39464882943145,0.03619990796086534,0.052567834504424274,0.10202885401881566,0.1834058423589435
298.24414715719064,0.03719186808617979,0.05330555884842159,0.10267529267548514,0.17809815230024068
303.09364548494983,0.037361361943787696,0.05313615326624503,0.1024895143374182,0.17042589024884225
307.943143812709,0.037081298233510626,0.05300071571201743,0.10311215864700168,0.17057276172165456
312.7926421404682,0.03555260380416429,0.05169017106167606,0.1024128445989089,0.16897073642158084
317.6421404682274,0.03406144386198563,0.05028224332619312,0.10081913086963884,0.1606927213133209
322.4916387959866,0.03423353104680669,0.05062724013942404,0.10100032515751323,0.15602510697367863
327.3411371237458,0.03524741355699246,0.0523942011214853,0.10313679469846476,0.1602602407147507
332.190635451505,0.03585655013612747,0.05420531505460588,0.10522301435408316,0.16628925092822644
