msini,Semi-major axis [R$_{jup}$],$M_{moon}/M_p$ sin i
0.00039654100909759,1.0412275590755233,0.00039654100909759
0.0004206542488981201,1.2776998248308924,0.0004206542488981201
0.00045751443437216607,1.5678770967437305,0.00045751443437216607
0.00045751443437216607,1.5678770967437305,0.00045751443437216607
0.00045751443437216607,1.5678770967437305,0.00045751443437216607
0.0004516206611936744,1.9239562710426965,0.0004516206611936744
0.00045751443437216607,1.9695600670734779,0.00045751443437216607
0.0005420456683997095,2.360904270221344,0.0005420456683997095
0.0005819517414826311,2.89708714124183,0.0005819517414826311
0.0006178204923847783,3.555042027672674,0.0006178204923847783
0.0006752797218154798,4.362424463732784,0.0006752797218154798
0.0007241658067517338,5.353170807444108,0.0007241658067517338
0.0007686077021483286,5.885512736716555,0.0007686077021483286
0.0008479405598519568,6.568924672944694,0.0008479405598519568
0.0009308494167489766,8.060787318576901,0.0009308494167489766
0.0010426673831014002,9.891465564059038,0.0010426673831014002
0.001119357810156582,12.137907519217269,0.001119357810156582
0.0012457874499756181,14.89453691072788,0.0012457874499756181
0.0012912331402448836,16.02720068085055,0.0012912331402448836
0.0015017106345626785,18.277221953932077,0.0015017106345626785
0.0017235370460392464,22.42814559160214,0.0017235370460392464
0.0017727125327764658,27.521781808306198,0.0017727125327764658
0.001985159599798047,33.77222922021821,0.001985159599798047
0.0021692249736848276,37.052155292819414,0.0021692249736848276
0.0025201719467693577,41.44221018999335,0.0025201719467693577
0.0028295422899114503,50.85411372262653,0.0028295422899114503
0.002891972290718331,62.40354630357731,0.002891972290718331
0.0030542216884197294,76.5759602557004,0.0030542216884197294
0.0033392628243891984,93.96705854754376,0.0033392628243891984
0.0034335059947346877,115.30783371952833,0.0034335059947346877
0.003529399565193559,141.49529337840443,0.003529399565193559
0.0036442194982429974,144.7350487001013,0.0036442194982429974
0.004971685990901804,173.63016373145174,0.004971685990901804
0.005347384054861844,213.063155936832,0.005347384054861844
0.0053787757153171715,261.4517399636572,0.0053787757153171715
0.006122156951206104,320.8298123129744,0.006122156951206104
0.006122156951206104,320.8298123129744,0.006122156951206104
0.006122156951206104,320.8298123129744,0.006122156951206104
